Sample	ATG5 	Cleaved Caspase 3 D175 	Cleaved Caspase 7 D198 	Cleaved Caspase 9 D330 	Cleaved Fodrin a D1185 	Cleaved PARP D214 	Cyclin A 	Cyclin B1 	Cyclin D1	EGFR 	ErbB2 	ErbB3 	ErbB4 	LC3B 	Nanog 	p4E-BP1 S65 	p4E-BP1 T37/46 	pAcetyl-CoA Carboxylase S79 	pAck1 Y284 	pAck1 Y857/858 	pAdducin S662 	pAKT S473 	pAKT T308 	pALK Y1604 	pAMPK a1 S485 	pAMPK B1 S108 	pA-Raf S299 	pArrestin1 B S412 	pASK1 S83 	pATF-2 T69/71 	pATF-2 T71 	pATP-Citrate Lyase S454 	pAurora A/B/C T288/232/198 	pBAD S112 	pBAD S136 	pBAD S155 	pBcl-2 S70 	pB-Raf S445 	pc-Abl T735 	pc-Abl Y245 	pCatenin B S33/37/T41 	pChk-1 S345 	pChk-2 S33/35 	pc-Kit Y719 	pCofilin S3 	pc-PLA2 S505 	pc-Raf S338 	pCREB S133 	pCrkII Y221 	pCrkL Y207 	pCyclin D1 T286 	pEGFR S1046/1047 	pEGFR Y1068 	pEGFR Y1148 	pEGFR Y1173 	pEGFR Y992 	peIF4E S209 	peIF4G S1108 	pElk-1 S383 	peNOS S113 	peNOS S1177 	peNOS/NOSIII S116 	pErbB2 Y1248 	pErbB3 Y1197 	pErbB3 Y1289 	pERK 1/2 T202/Y204 	pEzrin Y353 	pEzrin/Radixin/Moesin T567/564/558 	pFADD S194 	pFAK Y397 	pFKHR S256 	pFKHR/FKHRL1 T24/32 	pFKHRL1 S253 	pFRS2-a Y436 	pGab1 Y627 	pGSK3 a/B S21/9 	pHistone H3 S10 	pHistone H3 S28 	pIGF-1 Rec/IR Y1131/1146 	pIGF-1R/IR Y1135/36/1150/51 	pIkBa S32/36 	pIRS-1 S612 	pJak2 Y1007 	pLKB1 S334 	pLKB1 S428 	pMARCKs S152/156 	pMEK 1/2 S217/221 	pMEK1 S298 	pMet Y1234/35 	pMSK1 S360 	pMst1/2 T183/180 	pmTOR S2448 	pNFkB p65 S536 	pNPM T199 	pp27 T187 	pp53 S15 	pp70 S6 Kinase S371 	pp70 S6 Kinase T389 	pp70 S6 Kinase T412 	pp90RSK S380 	pp90RSK T359/S363 	pPAK1/2 S199/204/S192/197 	pPAK1/2 T423/402 	pPaxillin Y118 	pPDGFR B Y751 	pPDK1 S241 	pPKA C T197 	pPKC (pan) BII S660 	pPKC a/BII T638/641 	pPKC alpha S657 	pPKC delta T505 	pPKC theta T538 	pPKC zeta/lambda T410/403 	pPLC gamma 1 Y783 	pPLK1 T210	pPRAS40 T246 	pPRK1/2 T774/816 	pPTEN S380 	pPyk2 Y402 	pRaf S259 	pRas-GRF1 S916 	pRet Y905 	pRon Y1353 	pRSK3 T356/S360 	pS6 Ribosomal Protein S235/236 	pS6 Ribosomal Protein S240/244 	pSAPK/JNK T183/Y185 	pSGK1 S78 	pShc Y317 	pSHIP1 Y1020 	pSHP2 Y580 	pSmad1/5/8 SS/SS/SS 	pSmad2 S245/250/255 	pSmad2 S465/467 	pSrc Family Y416 	pStat1 Y701	pStat2 Y690 	pStat3 S727 	pStat3 Y705 	pStat4 Y693 	pStat5 Y694 	pStat6 Y641 	pTuberin/TSC2 Y1571 	pTyk2 Y1054/1055 	pVEGFR 2 Y1175 	pVEGFR 2 Y951 	pVEGFR 2 Y996 	Vimentin 
Lysate 11 	25848.29	9154.49	17890.05	18657.43	8561.24	3547.50	6528.94	17588.48	3644.59	61083.71	30638.11	1452.44	5784.86	3827.63	4200.67	101722.09	101722.09	52052.06	3093.32	5949.13	17034.57	50011.07	8459.12	4703.21	15290.70	3463.38	5721.58	1380.22	14016.64	2098.55	2607.12	16220.00	5750.26	12173.29	16915.74	12493.95	15962.55	22925.38	9547.17	4614.69	20455.35	0.00	0.00	13453.57	82454.32	8946.34	37797.57	4068.38	1250.13	12431.64	0.00	0.00	4464.89	17570.91	6727.78	3004.90	6476.92	32532.68	8982.20	1820.74	10006.60	18233.21	17943.80	13453.57	6509.38	39735.50	2050.83	1449.54	6148.72	3158.96	7158.10	30946.03	0.00	4460.43	1334.08	7895.12	0.00	1369.22	2801.75	3435.78	12797.43	7201.18	0.00	7808.75	1742.37	4523.31	2312.30	2349.60	3695.98	4929.54	13426.69	16613.99	5642.03	9710.86	5955.08	0.00	20475.82	14072.81	32532.68	1059.97	0.00	0.00	10582.96	16415.81	5541.39	62943.97	14443.50	8604.15	5029.12	18324.61	11214.91	4841.60	30946.03	2333.21	20191.16	42616.63	36315.50	18564.39	4679.75	8062.67	2596.71	4354.65	4555.09	29143.87	10117.28	28566.79	3611.94	15199.22	3032.07	2252.96	8664.59	19990.25	17818.64	19302.70	5366.87	4846.44	27722.50	55270.80	34891.55	10593.54	19712.34	3047.27	9662.42	10540.70	6335.98	2418.73	7136.66	3080.97
Lysate 12 	29143.87	8866.19	10198.54	12028.10	7855.74	0.00	6105.83	16090.75	3013.93	38561.14	19129.75	0.00	5208.25	9976.63	3785.75	80821.65	90219.41	8217.32	3391.41	6241.65	37797.57	10259.92	5192.65	8769.20	10742.89	5486.25	10992.85	3184.34	8308.21	2067.30	2192.94	20110.56	6898.09	10582.96	11932.25	12493.95	15787.91	31257.05	18160.43	14972.95	17943.80	0.00	0.00	13918.86	79221.24	6179.55	49020.81	17465.79	4175.54	19594.43	0.00	0.00	1508.69	13656.90	5961.04	2309.99	4836.76	47572.04	11742.86	4332.93	14735.28	8391.71	24587.65	9509.06	5546.93	62317.65	2504.89	1576.56	4865.86	4769.52	7502.57	46630.03	0.00	4651.75	1508.69	9045.29	0.00	1690.87	5784.86	4341.61	11441.48	10775.17	0.00	7215.59	11441.48	13386.47	2936.58	2607.12	11373.03	3633.68	15002.92	40134.85	12406.80	7009.35	3428.92	0.00	8742.93	20211.35	52575.20	1839.04	0.00	0.00	8192.71	103777.06	7376.10	62317.65	13173.99	20292.37	19950.31	64860.88	13467.04	4689.12	17890.05	2861.21	20557.88	28001.12	52052.06	26108.08	11568.02	8527.06	5675.99	3987.82	6291.78	38948.66	27173.57	38177.45	4642.46	14750.02	2472.54	6515.89	19574.83	33860.36	7480.09	6594.56	20826.89	7280.83	31257.05	29436.77	37421.46	12064.23	59278.37	4722.06	10530.17	13960.67	6856.83	4350.30	12493.95	4740.98
Lysate 13 	31257.05	7700.19	7108.17	16090.75	6020.95	0.00	4217.51	20702.29	5203.05	28566.79	31888.47	2542.75	5990.92	4974.10	3648.24	80821.65	103777.06	59278.37	3187.53	5535.85	10456.72	8459.12	0.00	9302.14	11282.41	3633.68	11660.94	5642.03	6457.51	2413.90	4376.48	62317.65	6298.08	5171.92	13877.17	9265.01	15290.70	41357.13	7495.06	4919.69	19072.45	0.00	0.00	13670.56	47098.68	8275.05	40538.19	8510.02	13794.15	42192.58	0.00	0.00	7368.72	11498.83	9681.77	2430.86	8760.43	51021.39	14371.47	2069.37	11602.78	14957.98	18361.29	11407.20	11602.78	110194.21	2090.17	1276.66	7887.22	2489.91	6911.90	15740.61	0.00	4072.45	4117.49	8341.52	0.00	1155.17	2607.12	2787.78	9877.35	4027.90	2525.01	6836.29	5094.93	4324.27	1916.01	2106.96	26108.08	4337.27	35954.15	20373.70	4500.75	7585.55	4740.98	1437.99	24343.02	13173.99	40134.85	1573.41	0.00	0.00	7832.21	6561.66	50011.07	45251.91	21205.16	10280.46	3740.60	14371.47	11475.84	3229.23	16074.68	2532.60	24834.77	26635.48	55826.30	28001.12	5069.51	6118.06	1788.26	4822.27	5039.18	29732.62	9127.07	26903.18	6260.40	13440.12	2762.80	3637.31	9490.06	17483.28	14809.14	8217.32	13173.99	5166.76	28853.90	16139.10	19129.75	18882.67	44801.64	8716.73	9063.41	5837.16	7122.40	3330.91	13780.37	4438.18
Lysate 14 	28566.79	7738.79	6601.16	13794.15	5437.09	0.00	3268.22	33189.87	4783.84	24100.80	24343.02	1870.57	5426.23	5177.10	3494.69	130613.74	95798.30	28001.12	2793.36	4798.22	9386.24	4518.79	0.00	6148.72	8078.81	3222.78	11579.60	4731.51	6051.13	2182.01	3948.14	51534.17	6087.54	3995.80	13108.29	8708.02	14115.10	38177.45	6721.05	3987.82	18769.72	0.00	0.00	13319.70	23155.79	10036.66	36680.49	4455.97	7684.80	33860.36	0.00	0.00	3748.08	9976.63	6051.13	5125.58	7442.78	68186.38	8391.71	2277.88	7427.91	14486.90	19015.31	9788.86	7030.41	38561.14	1403.89	1165.61	10850.86	2366.10	4880.49	10970.89	0.00	3294.47	1689.18	4424.89	0.00	1340.77	2261.99	2710.80	8308.21	4637.82	2235.01	6099.73	4979.08	3235.70	1824.39	2214.98	17085.75	5089.83	23155.79	28566.79	4109.27	7800.94	4954.25	1706.16	21872.82	32532.68	61083.71	0.00	0.00	0.00	7863.60	6939.61	28853.90	45251.91	17783.04	7058.59	3193.91	12076.30	10229.18	2849.79	14457.96	1759.88	23155.79	21763.73	54720.84	19302.70	3473.78	6124.18	1423.68	3688.59	4285.53	29732.62	26370.48	41357.13	4420.46	12468.99	2012.23	3242.17	7707.89	18788.49	13766.59	6130.30	9395.63	3666.53	22925.38	14214.25	13279.81	12797.43	30946.03	5377.61	8250.26	5187.46	5943.18	2404.27	8442.22	2972.03
Lysate 15 	62317.65	8046.56	7547.71	12076.30	6291.78	0.00	2514.93	29143.87	2522.49	73865.42	20537.35	1062.10	5308.16	8030.48	4363.37	61083.71	76114.93	59874.14	2246.21	4035.96	17326.64	62943.97	0.00	5361.50	12797.43	3633.68	6911.90	21078.32	5907.63	2445.49	9367.49	42616.63	5130.71	7115.28	9857.62	11944.18	15123.42	25336.48	8143.70	3967.93	16399.40	0.00	0.00	12493.95	78433.03	13003.83	37049.14	6489.88	1595.59	13629.62	0.00	0.00	4341.61	19516.19	5704.44	2421.15	3232.47	114691.32	5166.76	1655.73	11637.65	13173.99	23860.98	9897.13	3781.97	9200.38	1540.71	1118.79	5546.93	4209.08	7585.55	4307.01	0.00	3453.01	0.00	4451.52	0.00	1640.90	2497.39	4394.02	9662.42	7129.52	0.00	6574.81	3800.93	3422.07	1984.26	2779.43	3793.33	3143.21	33860.36	31888.47	13440.12	9633.49	5213.47	34544.37	10086.97	24834.77	47098.68	0.00	0.00	0.00	8964.25	18694.80	3854.51	36315.50	21894.71	14016.64	29732.62	59874.14	14385.85	4192.28	32859.61	1809.85	20394.09	61697.56	58688.53	21205.16	3235.70	10519.64	2271.06	2954.25	3572.42	13226.79	12028.10	29143.87	3226.01	15428.94	1815.29	2457.75	7654.12	6167.20	11158.98	7654.12	7280.83	3763.11	23623.56	134591.62	36680.49	8655.93	16268.72	2558.05	8510.02	4247.14	6489.88	2113.29	6795.39	26108.08
Lysate 16 	32532.68	10107.16	7855.74	17378.68	7847.89	0.00	3456.46	30946.03	2757.28	64860.88	15305.99	3232.47	6329.65	3330.91	4527.84	86681.86	102744.43	18434.88	1896.94	5318.79	21960.48	15048.00	1450.99	5491.74	21568.74	4712.62	26370.48	26903.18	7150.95	2570.87	3007.91	22471.44	4969.13	4204.88	9996.60	10239.42	15048.00	30031.45	8366.57	4068.38	22471.44	0.00	0.00	15552.87	87553.04	8493.02	48050.11	2273.33	1499.67	13134.53	0.00	0.00	4861.00	15819.52	6298.08	2168.95	5059.39	28853.90	7368.72	1276.66	8433.78	22697.27	22247.84	12271.07	9595.02	28566.79	2160.29	1571.84	12977.85	3789.54	12581.71	26108.08	0.00	5475.29	4496.26	7251.76	0.00	3568.86	2363.74	3271.49	10188.35	14574.08	2892.86	7926.76	10280.46	10509.14	2228.31	3136.93	17747.51	4545.99	11579.60	12708.16	6069.31	9509.06	5967.00	0.00	11125.56	4788.63	20150.82	1148.26	0.00	0.00	8275.05	44355.85	29143.87	78433.03	17925.86	11316.30	5229.13	19438.29	12720.88	3165.29	29436.77	2132.39	19360.70	20847.72	51021.39	26108.08	3519.24	6988.35	2397.06	3374.49	3439.22	40538.19	1365.12	5819.67	2878.43	17712.03	4171.37	29732.62	9857.62	21504.12	7420.49	7093.96	4861.00	5004.03	32859.61	12913.13	8527.06	13521.01	20578.46	6967.42	12246.56	14200.04	6502.88	3216.34	5464.35	4315.64
Lysate 17 	36680.49	9036.26	7266.28	16350.27	8535.59	0.00	3670.20	37421.46	2560.61	91126.15	24343.02	4015.83	6995.34	3374.49	4836.76	124243.61	94845.07	17413.49	2740.79	5530.31	26903.18	7237.28	0.00	6535.47	23623.56	5034.15	21938.54	22925.38	6329.65	2727.12	3026.01	17943.80	4707.91	4722.06	8928.47	9433.29	15630.82	28282.54	8946.34	3960.00	19751.80	0.00	0.00	15740.61	77652.59	7785.36	47572.04	4402.82	1788.26	12468.99	0.00	0.00	7966.49	17448.35	8022.46	2354.30	5453.43	48533.03	6891.20	3491.20	8883.94	16713.97	25084.37	14913.16	10625.37	24587.65	2612.34	1669.03	12581.71	4192.28	10270.19	27173.57	0.00	5281.68	5630.76	8070.74	0.00	4605.47	2550.39	3565.29	11801.72	18750.95	5937.24	9367.49	11556.46	10290.75	2492.40	2844.09	51534.17	5271.13	11849.02	16797.75	6714.34	9376.86	5541.39	0.00	11672.60	8242.02	24100.80	1260.17	0.00	0.00	7623.57	37797.57	33523.44	94845.07	15305.99	12456.53	6747.99	28001.12	12964.89	4096.96	33189.87	1956.67	19574.83	20475.82	56387.32	23623.56	3508.70	7302.70	3307.67	4559.65	3640.95	37049.14	10127.40	25336.48	3558.16	17535.81	4242.89	36680.49	9740.04	17712.03	7302.70	7762.03	5218.68	5738.77	27446.67	14058.74	9246.50	14228.46	23623.56	11014.86	11498.83	18361.29	6856.83	3554.61	5907.63	5069.51
Lysate 18 	26903.18	10456.72	19672.95	21354.12	8233.77	0.00	6266.67	20847.72	3885.47	68871.68	63576.58	5486.25	5574.74	6386.87	4264.16	50011.07	97733.51	9956.69	2525.01	5255.34	18638.79	9788.86	0.00	4769.52	12028.10	3398.19	31257.05	6795.39	6291.78	2835.57	7179.61	45251.91	5100.02	11452.92	16481.60	13835.59	14883.37	84965.48	7502.57	3590.33	18288.00	0.00	0.00	13561.64	73130.43	7910.92	41357.13	4675.07	1640.90	10604.14	0.00	0.00	5350.79	11158.98	6380.49	2951.30	6843.13	27722.50	8857.32	2724.39	13739.08	14794.34	22247.84	10970.89	10178.16	56387.32	1811.66	2512.42	7310.01	3350.95	7918.84	7684.80	0.00	4712.62	2550.39	7532.63	0.00	2061.11	2206.14	3284.60	10894.35	9585.44	3740.60	7259.02	8111.19	4230.18	1864.97	2578.60	26903.18	3508.70	10157.83	25848.29	10188.35	8070.74	4731.51	0.00	13480.50	10046.71	48050.11	2314.62	0.00	0.00	7942.63	10280.46	57526.45	59278.37	10026.63	11884.62	3759.35	14987.92	13187.18	4105.16	49513.49	1842.72	20373.70	15490.77	66836.17	37049.14	3785.75	10056.75	2568.30	4541.44	2972.03	80017.45	1367.86	5808.05	7165.26	16630.60	2751.77	3115.05	7824.38	28853.90	11226.14	6057.18	8416.93	3432.35	30638.11	54176.34	34544.37	18416.46	18324.61	7208.39	9246.50	9090.63	6260.40	3344.26	7079.79	2389.88
Lysate 19 	30031.45	10959.92	18124.14	22697.27	9163.65	0.00	5872.29	20578.46	3597.52	62317.65	47098.68	3932.38	5773.31	6124.18	3916.68	50011.07	86681.86	14720.56	2361.38	5608.28	21633.54	10785.96	0.00	5710.14	12720.88	3651.89	33189.87	7450.23	6754.74	3158.96	6374.11	54720.84	5313.47	11271.13	15709.17	13918.86	15032.95	88432.99	7808.75	3398.19	18453.33	0.00	0.00	13440.12	70262.95	8143.70	44801.64	5653.33	2162.46	13835.59	0.00	0.00	5675.99	11766.36	7051.53	3456.46	7442.78	29732.62	9172.82	2221.64	15184.04	13988.62	18826.12	11932.25	12076.30	68186.38	1937.20	2754.52	7331.97	3498.19	8299.91	9292.85	0.00	5541.39	2995.90	9265.01	0.00	1728.48	2387.49	3242.17	10249.66	10551.25	3615.55	7215.59	8612.76	3763.11	2280.16	3035.10	24834.77	3666.53	10894.35	27722.50	11556.46	7777.57	3924.52	0.00	13467.04	13042.91	55826.30	2972.03	0.00	0.00	8459.12	8552.68	76879.92	61083.71	10582.96	13946.73	3774.41	13173.99	13494.00	4600.87	44801.64	1861.24	20030.27	18601.55	63576.58	36315.50	4259.90	11475.84	3232.47	6075.38	3093.32	77652.59	1594.00	6795.39	8442.22	17085.75	2957.21	3087.14	8544.14	23860.98	11637.65	6815.81	8366.57	3725.66	24100.80	59874.14	35596.39	20475.82	22697.27	10157.83	9547.17	9154.49	7405.66	3314.29	8176.34	2768.33
Lysate 20 	59874.14	8200.91	7517.58	13279.81	8168.17	0.00	2337.88	24343.02	2576.02	81633.94	22026.47	1371.97	5340.10	7079.79	4052.14	66171.19	72402.75	54176.34	2875.55	4619.31	17430.90	70969.12	1487.72	6298.08	15093.20	3604.72	7122.40	26635.48	6247.89	3111.94	13656.90	47572.04	5324.11	6438.18	10840.02	12938.99	15305.99	26370.48	8638.64	3498.19	16187.59	0.00	0.00	12759.11	62317.65	12569.14	39735.50	5990.92	1718.14	13739.08	0.00	0.00	4482.79	20312.66	5715.86	3044.22	4027.90	110194.21	5244.84	1923.69	11896.50	16498.10	19771.57	11305.00	3983.83	11125.56	1367.86	1474.39	6761.50	4755.23	7895.12	4764.75	0.00	3608.33	0.00	4605.47	0.00	1704.45	2081.82	5161.59	8647.28	7950.58	0.00	7115.28	4587.08	3725.66	2217.20	2942.46	4052.14	2784.99	42192.58	37797.57	13240.03	11305.00	5094.93	39340.11	11452.92	28566.79	53637.32	0.00	0.00	0.00	9081.55	26903.18	4596.27	41357.13	24834.77	21354.12	34891.55	64215.49	15506.28	4264.16	30946.03	1699.35	19072.45	58688.53	61083.71	26370.48	3174.80	12493.95	2433.29	3007.91	2924.85	18306.28	14400.24	30946.03	4473.83	18124.14	1902.64	2588.93	7450.23	9218.80	12444.08	6361.38	7044.48	4487.27	25848.29	164390.54	48533.03	10188.35	17854.31	2841.25	9867.48	4064.31	5978.95	2067.30	6361.38	34200.64
Lysate 21 	17943.80	9414.44	9414.44	11956.14	6654.18	0.00	4019.85	30946.03	2818.61	63576.58	30638.11	3827.63	5784.86	2913.18	4167.20	80821.65	121783.49	17430.90	2305.38	4311.32	11649.28	22004.44	1183.23	10625.37	13082.10	4163.03	11731.11	2038.56	4550.54	1477.34	4394.02	9614.23	5808.05	5100.02	9857.62	7808.75	14928.09	52052.06	6105.83	7442.78	15962.55	0.00	0.00	13173.99	95798.30	8638.64	43044.94	3644.59	16155.24	25336.48	0.00	0.00	18582.95	13082.10	18958.36	4442.62	3766.87	61697.56	8561.24	2190.75	11766.36	22925.38	28566.79	13960.67	24343.02	47572.04	1982.27	1191.54	5552.48	5574.74	6380.49	9348.77	0.00	4949.29	3651.89	8866.19	0.00	2052.88	3065.60	6222.95	8266.78	4372.11	3152.65	6607.76	3721.94	3059.48	1435.11	2479.97	59874.14	2633.32	14129.21	12016.07	4385.24	9027.22	5563.59	1640.90	19418.85	14143.35	34891.55	0.00	0.00	0.00	6707.62	46630.03	24587.65	46166.04	8476.05	6714.34	4633.19	17979.72	12028.10	3519.24	45251.91	2130.26	15978.51	35954.15	76879.92	14115.10	6173.37	6654.18	4846.44	5192.65	3873.83	17396.08	4289.82	13615.99	5350.79	12444.08	4354.65	3975.87	11614.38	27722.50	7910.92	5239.60	9358.12	4827.10	30946.03	23623.56	8333.18	16597.38	62317.65	11544.91	9218.80	14429.06	6509.38	5955.08	10488.14	5146.13
Lysate 22 	26903.18	10678.63	8275.05	21872.82	9662.42	0.00	5105.12	30031.45	4332.93	74607.79	32208.97	2678.47	6081.46	3533.34	3936.31	192914.06	91126.15	2889.97	2594.11	5182.28	10259.92	45706.67	5642.03	8250.26	10916.17	4541.44	7354.00	2812.98	7165.26	2827.08	7480.09	11395.79	5727.30	8127.43	9018.20	12682.77	15787.91	38561.14	9926.87	6075.38	19129.75	0.00	0.00	14328.41	70969.12	7998.43	51021.39	1499.67	2316.93	11092.23	0.00	0.00	8250.26	17448.35	8751.67	2349.60	3118.17	74607.79	6542.01	1745.86	12594.30	19015.31	15382.72	12016.07	7201.18	35596.39	2314.62	2401.86	6627.61	7115.28	8299.91	16448.67	0.00	5255.34	2059.05	10056.75	0.00	2773.87	2406.67	15048.00	11707.68	20110.56	3226.01	7398.26	5943.18	4605.47	1817.11	2921.93	33523.44	3216.34	47572.04	24587.65	5442.54	9828.09	4841.60	1128.90	8291.61	21872.82	47098.68	0.00	0.00	0.00	6918.82	64860.88	11293.69	51021.39	11226.14	10764.41	7037.44	27722.50	14157.50	4247.14	34891.55	2326.22	21504.12	56954.03	44801.64	19496.70	4478.30	8955.30	3190.71	4959.20	3572.42	58688.53	21205.16	33860.36	8119.31	18142.27	3740.60	4433.75	10046.71	18694.80	11158.98	11070.07	9986.60	4783.84	25336.48	38177.45	22925.38	12332.58	22697.27	5767.53	11305.00	17765.25	5866.42	4979.08	7280.83	3558.16
Lysate 23 	25336.48	11036.91	8795.54	19168.05	8751.67	0.00	3893.25	28001.12	4125.74	37797.57	33860.36	1935.27	6768.26	3047.27	4424.89	38948.66	90219.41	19225.64	3533.34	6574.81	13656.90	12124.70	0.00	11441.48	10373.40	4302.71	9710.86	1582.88	7051.53	2673.12	5727.30	12835.88	5345.44	4684.43	12124.70	9643.12	15063.05	36680.49	10593.54	5508.24	21872.82	0.00	0.00	14185.85	73130.43	11649.28	32532.68	3579.58	10667.95	37797.57	0.00	0.00	19264.13	16042.55	18601.55	3684.90	10646.64	66836.17	6154.88	1914.09	11293.69	14486.90	30031.45	13082.10	20889.45	25336.48	2140.94	1968.45	5925.38	4328.60	9847.76	6063.24	0.00	6918.82	7982.44	6355.02	0.00	1725.03	3143.21	5415.39	11980.07	5901.72	4447.07	8595.55	2686.51	3281.32	1738.89	2657.13	58688.53	4367.74	20251.83	12569.14	7966.49	11778.13	6406.06	135944.19	26635.48	8283.33	22925.38	0.00	0.00	0.00	8535.59	28853.90	94845.07	42616.63	12320.25	8366.57	4192.28	15108.31	14072.81	5069.51	44355.85	3118.17	20394.09	29436.77	62943.97	21015.17	9452.18	5166.76	3991.81	11327.63	5084.75	25084.37	2945.40	11498.83	4914.77	16966.57	5901.72	3473.78	11338.97	14129.21	15244.89	7016.36	12295.64	5388.38	37049.14	59874.14	9018.20	27446.67	48533.03	16630.60	11778.13	18306.28	7669.45	5619.51	12874.45	5074.58
Lysate 24 	23860.98	10948.96	18106.02	19870.68	9045.29	3912.77	6191.92	17051.62	3442.66	70262.95	34544.37	1837.20	5895.83	3707.08	4376.48	92966.97	92966.97	65512.76	2638.59	5744.51	20764.50	32532.68	5878.16	5187.46	16697.25	3630.04	5681.67	1430.82	17818.64	2654.47	3408.41	16010.50	5790.65	11813.52	17676.65	14838.78	15521.78	19360.70	8813.14	4192.28	23388.52	0.00	0.00	14661.80	77652.59	10689.32	37797.57	5761.77	1180.86	12733.60	0.00	0.00	6574.81	16630.60	7600.73	3543.96	9265.01	30031.45	7646.48	2328.55	12161.13	20496.32	19555.26	13440.12	7895.12	35596.39	1790.05	1900.74	6849.97	2718.95	7158.10	23860.98	0.00	4307.01	1478.82	10117.28	0.00	1779.34	2754.52	3543.96	11614.38	6535.47	0.00	7824.38	1912.18	4949.29	2852.64	2919.01	3529.81	4596.27	13849.44	18324.61	7244.51	10829.18	6254.15	0.00	20231.58	14357.10	31571.17	1253.88	0.00	0.00	12052.17	12246.56	6241.65	66171.19	15093.20	9200.38	6795.39	23388.52	12632.15	5281.68	29436.77	2162.46	21872.82	43044.94	37421.46	26108.08	4068.38	8086.90	2881.31	4117.49	4605.47	32859.61	8919.54	27722.50	3707.08	15898.81	3357.66	2423.58	8291.61	20578.46	16547.66	10764.41	5837.16	6974.39	38948.66	52575.20	39340.11	9614.23	18416.46	3626.42	10198.54	10036.66	6444.61	2394.67	6700.92	3304.37
Lysate 25 	24834.77	10456.72	19930.36	19890.54	8408.51	4460.43	6355.02	16831.37	3626.42	60475.90	30333.25	1248.88	5738.77	3456.46	4532.37	94845.07	96761.02	56387.32	2887.08	5664.65	17309.31	48050.11	6829.46	4934.47	16366.63	3912.77	6093.64	1423.68	13346.37	2746.27	3533.34	16155.24	5721.58	12016.07	16966.57	14823.96	15693.47	20660.93	8699.32	4167.20	20973.19	0.00	0.00	13739.08	76114.93	8690.62	32859.61	5223.90	1347.49	14157.50	0.00	0.00	5602.68	14661.80	7208.39	3245.42	7405.66	34200.64	6918.82	2275.60	9701.16	18863.80	23388.52	13521.01	7222.82	26108.08	1747.60	1735.41	6470.44	3226.01	6809.00	26370.48	0.00	3804.73	1542.25	8143.70	0.00	1458.26	2450.38	3374.49	11908.41	6081.46	0.00	7684.80	1857.52	4610.08	2563.17	2635.95	3340.92	4056.19	13684.24	15646.46	5955.08	9887.24	5313.47	0.00	21418.28	13643.25	30638.11	1162.12	0.00	0.00	10850.86	15506.28	6707.62	61697.56	14972.95	7669.45	4817.45	17500.78	10948.96	4726.78	28001.12	2287.01	21099.40	42616.63	37421.46	23623.56	3858.37	8316.53	2841.25	4011.82	4281.25	29436.77	11837.17	30638.11	3522.76	15199.22	2980.96	2121.76	8168.17	20764.50	16203.78	10167.99	4600.87	4689.12	28282.54	49020.81	34891.55	9936.80	18750.95	2992.90	9907.03	11338.97	6483.40	2951.30	6522.42	3013.93
Lysate 26 	20619.65	10872.58	11147.83	21633.54	7926.76	2633.32	3889.36	7108.17	3071.74	101722.09	37049.14	1450.99	5744.51	2614.95	4731.51	64860.88	91126.15	32859.61	3357.66	5943.18	19322.02	17961.75	0.00	8143.70	10700.01	3975.87	5084.75	1553.09	21226.39	2409.08	4213.29	13069.02	5426.23	10938.02	20292.37	10981.86	15275.41	18361.29	8621.38	8777.97	21741.99	0.00	0.00	15244.89	83283.02	10872.58	31257.05	5431.66	2969.06	24587.65	0.00	0.00	16564.22	14794.34	13684.24	4949.29	8250.26	13891.04	6680.85	1851.96	12938.99	15138.55	21763.73	13187.18	7600.73	21226.39	2768.33	1759.88	4591.68	4105.16	6374.11	22925.38	0.00	5004.03	2175.47	8030.48	0.00	1522.33	4656.41	3261.69	11226.14	4909.85	0.00	8341.52	1891.26	4954.25	1919.85	2675.79	7910.92	3912.77	9730.30	11203.71	5530.31	8964.25	5286.97	1839.04	11707.68	3456.46	15017.92	0.00	0.00	0.00	43044.94	42616.63	7832.21	48050.11	13359.73	9320.77	3707.08	10066.82	11407.20	6335.98	32859.61	2622.81	22925.38	40538.19	33860.36	29143.87	9986.60	6815.81	3744.34	5229.13	5625.14	29732.62	0.00	2373.21	3651.89	15168.86	4841.60	3200.30	11684.29	36680.49	10097.07	8127.43	35954.15	7339.31	34891.55	48050.11	115844.01	12064.23	36680.49	5372.24	9063.41	16122.96	6754.74	2649.17	14588.67	4125.74
